Name,Age,Position,Player Nationality,Market Value,Left,LeagueLefted,Joined,LeagueJoined,Fee
Georgios Kyriakopoulos,28,Left Midfield,Greece,3.5,Sassuolo,Serie B,Monza,Serie A,3.68
Muhanad Al-Saad,21,Right Winger,Saudi Arabia,0.75,Al-Ettifaq,Saudi Pro League,NEOM SC,Saudi First Division League,3.66
José Córdoba,23,Centre-Back,Panama,3.5,Levski Sofia,efbet Liga,Norwich,Championship,3.65
Mateo Sanabria,20,Left Winger,Argentina,6.0,Lanús,Liga Profesional (- 23/24),Al-Ain,UAE Pro League,3.63
Thelo Aasgaard,22,Attacking Midfield,Norway,1.0,Wigan,League One,Luton,Championship,3.6
Lasse Nordås,22,Centre-Forward,Norway,1.5,Tromsø,Eliteserien,Luton,Championship,3.6
Manu García,27,Attacking Midfield,Spain,3.0,Aris Saloniki,Super League 1,Kansas City,MLS,3.6
Laurs Skjellerup,22,Centre-Forward,Denmark,7.0,IFK Göteborg,Allsvenskan,Sassuolo,Serie B,3.6
Juninho Bacuna,27,Central Midfield,Curacao,3.6,Birmingham,League One,Al-Wehda,Saudi Pro League,
Harrison Burrows,22,Left-Back,England,3.2,Peterborough,League One,Sheff Utd,Championship,3.55
Jay Stansfield,21,Centre-Forward,England,3.5,Fulham,Premier League,Birmingham,League One,17.8
Adam Idah,23,Centre-Forward,Ireland,3.5,Norwich,Championship,Celtic,Premiership,9.9
Gennaro Borrelli,24,Centre-Forward,Italy,1.4,Frosinone,Serie B,Brescia,Serie B,3.5
Divine Teah,18,Central Midfield,Liberia,3.0,Hammarby,Allsvenskan,Slavia Prague,Chance Liga,3.5
Philip Otele,25,Left Winger,Nigeria,2.5,CFR Cluj,SuperLiga,Al-Wahda,UAE Pro League,3.5
Anis Hadj Moussa,22,Right Winger,Algeria,2.0,Patro Eisden,Challenger Pro League,Feyenoord,Eredivisie,3.5
Mikael Egill Ellertsson,22,Central Midfield,Iceland,2.8,Venezia,Serie A,Genoa,Serie A,3.5
Fally Mayulu,21,Centre-Forward,France,2.0,Rapid Vienna,Bundesliga,Bristol City,Championship,3.5
Dani Silva,24,Defensive Midfield,Portugal,1.5,Hellas Verona,Serie A,FC Midtjylland,Superliga,3.5
Nuno Moreira,25,Left Winger,Portugal,1.5,Casa Pia,Liga Portugal,Vasco da Gama,Série A,3.5
Mikey Johnston,25,Left Winger,Ireland,3.0,Celtic,Premiership,West Brom,Championship,3.5
Camiel Neghli,23,Right Winger,Algeria,1.3,Sparta R.,Eredivisie,Millwall,Championship,3.5
João Marques,22,Left Winger,Portugal,3.5,Estoril Praia,Liga Portugal,SC Braga,Liga Portugal,3.5
Amine El Ouazzani,22,Centre-Forward,Morocco,2.0,Guingamp,Ligue 2,SC Braga,Liga Portugal,3.5
Sebastiano Luperto,27,Centre-Back,Italy,3.5,FC Empoli,Serie A,Cagliari,Serie A,3.5
Liam Millar,24,Left Winger,Canada,2.2,FC Basel,Super League,Hull City,Championship,3.5
Idan Toklomati,20,Centre-Forward,Israel,1.6,M. Petah Tikva,Ligat ha'Al,Crown Legacy FC,MLS Next Pro,3.5
Luka Romero,20,Right Winger,Argentina,3.5,AC Milan,Serie A,CD Cruz Azul,Liga MX Apertura,3.3
Paulo Bernardo,22,Central Midfield,Portugal,3.5,Benfica,Liga Portugal,Celtic,Premiership,3.0
Esmir Bajraktarević,19,Right Winger,Bosnia-Herzegovina,3.5,New England,MLS,PSV Eindhoven,Eredivisie,3.0
Jorge Sánchez,26,Right-Back,Mexico,3.5,Ajax,Eredivisie,CD Cruz Azul,Liga MX Apertura,3.0
Christian Rivera,29,Defensive Midfield,Colombia,3.5,Club Tijuana,Liga MX Apertura,Sport Recife,Série A,2.9
Damián García,21,Defensive Midfield,Uruguay,3.5,Peñarol,Liga AUF Apertura,Shabab Al-Ahli,UAE Pro League,2.9
Unai Bilbao,30,Centre-Back,Spain,3.5,San Luis,Liga MX Apertura,Club Tijuana,Liga MX Apertura,2.8
Benjamin Tahirović,21,Defensive Midfield,Bosnia-Herzegovina,3.5,Ajax,Eredivisie,Bröndby IF,Superliga,2.75
Hans Hateboer,30,Right-Back,Netherlands,3.5,Atalanta BC,Serie A,Stade Rennais,Ligue 1,2.7
Gennaro Tutino,27,Centre-Forward,Italy,3.5,Parma,Serie A,Cosenza,Serie B,2.5
Leonardo Campana,24,Centre-Forward,Ecuador,3.5,Miami,MLS,New England,MLS,2.4
Ondrej Lingr,25,Attacking Midfield,Czech Republic,3.5,Feyenoord,Eredivisie,Slavia Prague,Chance Liga,2.2
Ísak Jóhannesson,21,Central Midfield,Iceland,3.5,FC Copenhagen,Superliga,F. Düsseldorf,2. Bundesliga,2.0
Mateo Pellegrino,23,Centre-Forward,Argentina,3.5,Vélez Sarsfield,Torneo Apertura,Parma,Serie A,2.0
Aleksandar Cirkovic,23,Left Winger,Serbia,3.5,FK TSC,Super liga Srbije,Ferencváros,NB I.,2.0
Cihan Çanak,19,Right Winger,Türkiye,3.5,Standard Liège,Jupiler Pro League,Trabzonspor,Süper Lig,2.0
Sead Haksabanovic,25,Left Winger,Montenegro,3.5,Celtic,Premiership,Malmö FF,Allsvenskan,2.0
Iván Leguizamón,22,Right Winger,Paraguay,3.5,San Lorenzo,Torneo Apertura,Olimpia,Primera División Apertura,2.0
Roman Yaremchuk,28,Centre-Forward,Ukraine,3.5,Club Brugge,Jupiler Pro League,Olympiacos,Super League 1,2.0
Marco Brescianini,24,Central Midfield,Italy,3.5,Frosinone,Serie B,Atalanta BC,Serie A,
Veldin Hodza,21,Defensive Midfield,Croatia,3.5,HNK Rijeka,SuperSport HNL,Rubin Kazan,Premier Liga,2.0
Nicolás Romero,21,Centre-Back,Argentina,3.5,Atl. Tucumán,Torneo Apertura,Minnesota,MLS,1.95
Rodrigo Atencio,22,Right Winger,Argentina,3.5,Independiente,Torneo Apertura,Sport Recife,Série A,1.9
Pablo Marí,31,Centre-Back,Spain,3.5,Monza,Serie A,Fiorentina,Serie A,1.8
Lassana Coulibaly,28,Central Midfield,Mali,3.5,Salernitana,Serie B,Lecce,Serie A,1.8
Michael Baidoo,25,Attacking Midfield,Ghana,3.5,Elfsborg,Allsvenskan,Plymouth,Championship,1.75
Wilfried Kanga,26,Centre-Forward,Cote d'Ivoire,3.5,Hertha BSC,2. Bundesliga,Dinamo Zagreb,SuperSport HNL,1.7
Philippe Rommens,26,Central Midfield,Belgium,3.5,Go Ahead Eagles,Eredivisie,Ferencváros,NB I.,1.5
Dominik Marczuk,20,Right Winger,Poland,3.5,Jagiellonia,Ekstraklasa,Salt Lake,MLS,1.5
Taulant Seferi,27,Centre-Forward,Albania,3.5,Vorskla Poltava,Premier Liga,Bodrum FK,Süper Lig,1.5
Edvin Kurtulus,24,Centre-Back,Sweden,3.5,Hammarby,Allsvenskan,Ludogorets,efbet Liga,1.45
Mario Mitaj,21,Left-Back,Albania,3.5,Loko Moscow,Premier Liga,Al-Ittihad,Saudi Pro League,
Gennaro Tutino,27,Centre-Forward,Italy,3.5,Cosenza,Serie B,Sampdoria,Serie B,
Fábio Cardoso,30,Centre-Back,Portugal,3.5,FC Porto,Liga Portugal,Al-Ain,UAE Pro League,
Mathieu Choinière,25,Central Midfield,Canada,3.5,Montréal,MLS,Grasshoppers,Super League,9.0
Myron van Brederode,21,Left Winger,Netherlands,3.5,AZ Alkmaar,Eredivisie,F. Düsseldorf,2. Bundesliga,
Woo-yeong Jeong,24,Attacking Midfield,"Korea, South",3.5,VfB Stuttgart,Bundesliga,Union Berlin,Bundesliga,
Aliou Dieng,26,Defensive Midfield,Mali,3.5,Ahly SC,Premier League,Al-Kholood,Saudi Pro League,
Gabriel Vidovic,20,Second Striker,Croatia,3.5,Bayern Munich,Bundesliga,1.FSV Mainz 05,Bundesliga,
Matías Abaldo,20,Right Winger,Uruguay,3.5,Defensor SC,Liga AUF Clausura,Gimnasia,Liga Profesional (- 23/24),4.6
DeJuan Jones,27,Left-Back,United States,3.5,Columbus,MLS,SJ Earthquakes,MLS,3.7
Achraf Bencharki,30,Left Winger,Morocco,3.5,Al-Rayyan,Stars League,Ahly SC,Premier League,
Mathew Ryan,32,Goalkeeper,Australia,3.5,AZ Alkmaar,Eredivisie,AS Roma,Serie A,
Jerry Yates,27,Centre-Forward,England,3.5,Swansea,Championship,Derby,Championship,
Nat Phillips,27,Centre-Back,England,3.5,Liverpool,Premier League,Derby,Championship,
Noah Weißhaupt,23,Left Winger,Germany,3.5,SC Freiburg,Bundesliga,FC St. Pauli,Bundesliga,
Ivo Grbic,28,Goalkeeper,Croatia,3.5,Sheff Utd,Championship,C. Rizespor,Süper Lig,
Ricardo Rodríguez,31,Left-Back,Switzerland,3.5,Torino,Serie A,Real Betis,LaLiga,
Alexis Claude-Maurice,26,Attacking Midfield,France,3.5,OGC Nice,Ligue 1,FC Augsburg,Bundesliga,
Welington,23,Left-Back,Brazil,3.5,São Paulo,Série A,Southampton,Premier League,
Gustavo Cuéllar,32,Defensive Midfield,Colombia,3.5,Al-Shabab,Saudi Pro League,Grêmio,Série A,
Leonardo Godoy,29,Right-Back,Argentina,3.5,Athletico-PR,Série B,Santos,Série A,
Antoine Bernede,25,Central Midfield,France,3.5,Lausanne-Sport,Super League,Hellas Verona,Serie A,
Sebastián Boselli,20,Centre-Back,Uruguay,3.5,River Plate,Liga Profesional (- 23/24),Estudiantes LP,Liga Profesional (- 23/24),
Florian Grillitsch,29,Defensive Midfield,Austria,3.5,TSG Hoffenheim,Bundesliga,Real Valladolid,LaLiga,
Ivan Rakitic,36,Central Midfield,Croatia,3.5,Al-Shabab,Saudi Pro League,Hajduk Split,SuperSport HNL,
Borna Barisic,31,Left-Back,Croatia,3.5,Rangers,Premiership,Trabzonspor,Süper Lig,
Alan Virginius,21,Left Winger,France,3.5,LOSC Lille,Ligue 1,BSC Young Boys,Super League,
Dário Essugo,19,Defensive Midfield,Portugal,3.5,Sporting CP,Liga Portugal,UD Las Palmas,LaLiga,
Allan,33,Defensive Midfield,Brazil,3.5,Al-Wahda,UAE Pro League,Botafogo,Série A,
Alessio Zerbin,25,Left Winger,Italy,3.5,Napoli,Serie A,Venezia,Serie A,
Luis Palma,25,Left Winger,Honduras,3.5,Celtic,Premiership,Olympiacos,Super League 1,
Roberto Fernández,22,Centre-Forward,Spain,3.5,SC Braga,Liga Portugal,Espanyol,LaLiga,
Jeremy Agbonifo,19,Right Winger,Sweden,3.5,Häcken,Allsvenskan,Lens,Ligue 1,
Sebastián Coates,33,Centre-Back,Uruguay,3.5,Sporting CP,Liga Portugal,Nacional,Liga AUF Clausura,
Paddy McNair,29,Centre-Back,Northern Ireland,3.5,San Diego,United States,West Brom,Championship,
Nicolas Cozza,25,Left-Back,France,3.5,VfL Wolfsburg,Bundesliga,FC Nantes,Ligue 1,
Andy Pelmard,24,Right-Back,France,3.5,Clermont Foot,Ligue 2,Lecce,Serie A,
Min-hyeok Yang,18,Right Winger,"Korea, South",3.5,Tottenham,Premier League,QPR,Championship,
Omar Colley,31,Centre-Back,The Gambia,3.5,Besiktas,Süper Lig,PAOK Salonika,Super League 1,
Carlos Martín,22,Left Winger,Spain,3.5,Atlético Madrid,LaLiga,Alavés,LaLiga,
Joan Jordán,30,Central Midfield,Spain,3.5,Sevilla FC,LaLiga,Alavés,LaLiga,
Marco Pellegrino,22,Centre-Back,Argentina,3.5,AC Milan,Serie A,Independiente,Liga Profesional (- 23/24),
Nahuel Bustos,26,Centre-Forward,Argentina,3.5,CA Talleres,Liga Profesional (- 23/24),San Lorenzo,Liga Profesional (- 23/24),
Pau López,30,Goalkeeper,Spain,3.5,Marseille,Ligue 1,Toluca,Liga MX Apertura,
Jari Vandeputte,28,Left Winger,Belgium,3.5,Catanzaro,Serie B,Cremonese,Serie B,
Lucas Zelarayán,32,Attacking Midfield,Armenia,3.5,Al-Fateh,Saudi Pro League,Belgrano,Torneo Apertura,
Mohamed Elneny,32,Defensive Midfield,Egypt,3.5,Arsenal,Premier League,Al-Jazira,UAE Pro League,
Matías Abaldo,20,Right Winger,Uruguay,3.5,Gimnasia,Torneo Apertura,Defensor SC,Liga AUF Apertura,
Kevin Zeroli,20,Central Midfield,Italy,3.5,AC Milan,Serie A,Monza,Serie A,
Joe Gelhardt,22,Centre-Forward,England,3.5,Leeds,Championship,Hull City,Championship,
Lazare Amani,26,Central Midfield,Cote d'Ivoire,3.5,Union SG,Jupiler Pro League,Standard Liège,Jupiler Pro League,
Marko Bulat,22,Attacking Midfield,Croatia,3.5,Dinamo Zagreb,SuperSport HNL,Standard Liège,Jupiler Pro League,
Andi Zeqiri,25,Centre-Forward,Switzerland,3.5,KRC Genk,Jupiler Pro League,Standard Liège,Jupiler Pro League,
Ramón Terrats,24,Central Midfield,Spain,3.5,Villarreal,LaLiga,Getafe,LaLiga,
Bertuğ Yıldırım,22,Centre-Forward,Türkiye,3.5,Stade Rennais,Ligue 1,Getafe,LaLiga,
Álvaro Rodríguez,20,Centre-Forward,Uruguay,3.5,Real Madrid,LaLiga,Getafe,LaLiga,
Georgiy Dzhikiya,30,Centre-Back,Russia,3.5,Spartak Moscow,Premier Liga,Khimki,Premier Liga,
Edimilson Fernandes,28,Defensive Midfield,Switzerland,3.5,1.FSV Mainz 05,Bundesliga,Stade Brestois,Ligue 1,
Arturo González,29,Left Winger,Mexico,3.5,Monterrey,Liga MX Apertura,Pachuca,Liga MX Apertura,
Viktor Djukanovic,21,Left Winger,Montenegro,3.5,Hammarby,Allsvenskan,Dunajska Streda,Nike Liga,
Emanuel Gularte,26,Centre-Back,Uruguay,3.5,Querétaro FC,Liga MX Apertura,Puebla FC,Liga MX Apertura,
Mauro Perkovic,21,Centre-Back,Croatia,3.5,Dinamo Zagreb,SuperSport HNL,Cracovia,Ekstraklasa,
Andrea Compagno,28,Centre-Forward,Italy,3.5,TJ Jinmen Tiger,Super League,Jeonbuk Hyundai,K League 1,
Léo Dubois,29,Right-Back,France,3.5,Galatasaray,Süper Lig,Eyüpspor,Süper Lig,
Boris Popović,24,Centre-Back,Serbia,3.5,Cercle Brugge,Jupiler Pro League,Arouca,Liga Portugal,
Matheus Uribe,33,Defensive Midfield,Colombia,3.5,Al-Sadd,Stars League,Atl. Nacional,Liga Dimayor I,
Léo Chú,24,Left Winger,Brazil,3.5,Seattle,MLS,Dallas,MLS,
Tom Holmes,24,Centre-Back,England,3.5,Luton,Championship,FCV Dender EH,Jupiler Pro League,
Josip Brekalo,26,Left Winger,Croatia,3.5,Fiorentina,Serie A,Kasimpasa,Süper Lig,
Reinier,22,Attacking Midfield,Brazil,3.5,Real Madrid,LaLiga,Granada CF,LaLiga2,
Anderson Duarte,20,Right Winger,Uruguay,3.5,Toluca,Liga MX Apertura,Mazatlán FC,Liga MX Apertura,
Paddy McNair,29,Centre-Back,Northern Ireland,3.5,Middlesbrough,Championship,San Diego,United States,
Juan José Cáceres,24,Right-Back,Paraguay,1.0,Lanús,Torneo Apertura,Dynamo Moscow,Premier Liga,3.4
Gennadiy Synchuk,18,Right Winger,Ukraine,4.0,Metalist,Persha Liga,Montréal,MLS,3.4
Vincent Aboubakar,32,Centre-Forward,Cameroon,3.4,Besiktas,Süper Lig,Hatayspor,Süper Lig,
Melker Widell,22,Central Midfield,Sweden,1.0,Aalborg BK,Superliga,Swansea,Championship,3.35
Edmund Baidoo,18,Right Winger,Ghana,1.2,Sogndal,OBOS-ligaen,RB Salzburg,Bundesliga,3.3
Joe Taylor,22,Centre-Forward,Wales,3.5,Luton,Championship,Huddersfield,League One,3.3
Luan,31,Centre-Back,Brazil,1.8,Palmeiras,Série A,Toluca,Liga MX Apertura,3.3
Facundo Bernal,20,Defensive Midfield,Uruguay,1.4,Defensor SC,Liga AUF Clausura,Fluminense,Série A,3.3
Aaron Boupendza,28,Centre-Forward,Gabon,3.3,FC Rapid,SuperLiga,ZJ FC,Super League,8.0
Jackson Porozo,24,Centre-Back,Ecuador,3.3,Troyes,Ligue 2,CD Leganés,LaLiga,
Bruno Damiani,22,Centre-Forward,Uruguay,8.0,Nacional,Liga AUF Apertura,Philadelphia,MLS,3.25
Robin Pröpper,30,Centre-Back,Netherlands,3.0,Twente FC,Eredivisie,Rangers,Premiership,3.2
Arthur Sales,22,Centre-Forward,Brazil,1.0,Lommel SK,Challenger Pro League,Sundowns,Betway Premiership,3.2
Sergio Palacios,19,Centre-Back,Colombia,9.0,Once Caldas,Liga DIMAYOR II,Bragantino U20,CBF Brasileiro U20,3.2
Tomas Chory,29,Centre-Forward,Czech Republic,3.2,Viktoria Plzen,Chance Liga,Slavia Prague,Chance Liga,3.0
Igor Miladinovic,21,Attacking Midfield,Serbia,3.2,Cukaricki,Super liga Srbije,Saint-Étienne,Ligue 1,3.0
Felipe Peña Biafore,23,Defensive Midfield,Argentina,3.2,River Plate,Liga Profesional (- 23/24),Lanús,Liga Profesional (- 23/24),1.07
Georgios Masouras,31,Left Winger,Greece,3.2,Olympiacos,Super League 1,VfL Bochum,Bundesliga,
Martin Braithwaite,33,Centre-Forward,Denmark,3.2,Espanyol,LaLiga,Grêmio,Série A,
Micah Hamilton,21,Left Winger,England,3.2,Middlesbrough,Championship,Stockport,League One,
Ricardo Chávez,30,Right-Back,Mexico,3.2,San Luis,Liga MX Apertura,Monterrey,Liga MX Apertura,
Ola Brynhildsen,25,Centre-Forward,Norway,3.2,FC Midtjylland,Superliga,Toronto,MLS,
François Kamano,28,Left Winger,Guinea,3.2,Abha,Saudi First Division League,Damac FC,Saudi Pro League,
Juan Pablo Freytes,24,Centre-Back,Argentina,9.0,Alianza Lima,Liga 1 Apertura,Fluminense,Série A,3.15
Morten Thorsby,28,Central Midfield,Norway,3.0,Union Berlin,Bundesliga,Genoa,Serie A,3.1
Iké Ugbo,25,Centre-Forward,Canada,2.8,Troyes,Ligue 2,Sheff Wed,Championship,3.1
Lucas Stassin,19,Centre-Forward,Belgium,3.0,KVC Westerlo,Jupiler Pro League,Saint-Étienne,Ligue 1,10.0
Diego Moreira,20,Left Winger,Portugal,3.0,Chelsea,Premier League,R. Strasbourg,Ligue 1,8.5
Martin Erlić,26,Centre-Back,Croatia,3.0,Sassuolo,Serie B,Bologna,Serie A,7.0
Krisztián Lisztes,19,Attacking Midfield,Hungary,3.0,Ferencváros,NB I.,E. Frankfurt,Bundesliga,6.0
Matheus Dória,29,Centre-Back,Brazil,3.0,Santos Laguna,Liga MX Apertura,Atlas,Liga MX Apertura,6.0
Kaio César,20,Right Winger,Brazil,3.0,Coritiba FC,Série B,Vit. Guimarães,Liga Portugal,4.2
Anderson Duarte,20,Right Winger,Uruguay,3.0,Defensor SC,Liga AUF Clausura,Toluca,Liga MX Apertura,3.75
Frantzdy Pierrot,29,Centre-Forward,Haiti,3.0,Maccabi Haifa,Ligat ha'Al,AEK Athens,Super League 1,3.5
Ayrton Costa,25,Centre-Back,Argentina,3.0,Royal Antwerp,Jupiler Pro League,Boca Juniors,Torneo Apertura,3.1
Marin Soticek,19,Right Winger,Croatia,2.0,NK Lokomotiva,SuperSport HNL,FC Basel,Super League,3.0
Jackson Tchatchoua,22,Right-Back,Cameroon,3.0,R Charleroi SC,Jupiler Pro League,Hellas Verona,Serie A,3.0
Gauthier Hein,28,Right Winger,France,3.0,AJ Auxerre,Ligue 1,FC Metz,Ligue 2,3.0
Víctor Meseguer,25,Central Midfield,Spain,2.2,Granada CF,LaLiga2,Real Valladolid,LaLiga,3.0
Niko Galesic,23,Centre-Back,Croatia,3.0,HNK Rijeka,SuperSport HNL,Dinamo Zagreb,SuperSport HNL,3.0
Joël Schingtienne,22,Centre-Back,Belgium,2.0,OH Leuven,Jupiler Pro League,Venezia,Serie A,3.0
Oliver Edvardsen,25,Left Winger,Norway,3.0,Go Ahead Eagles,Eredivisie,Ajax,Eredivisie,3.0
Augustine Boakye,23,Attacking Midfield,Ghana,3.0,Wolfsberger AC,Bundesliga,Saint-Étienne,Ligue 1,3.0
Isaac Price,21,Central Midfield,Northern Ireland,3.0,Standard Liège,Jupiler Pro League,West Brom,Championship,3.0
Woyo Coulibaly,25,Right-Back,France,2.0,Parma,Serie A,Leicester,Premier League,3.0
Mihailo Ivanovic,19,Centre-Forward,Serbia,1.5,Vojvodina,Super liga Srbije,Millwall,Championship,3.0
Estanis Pedrola,20,Left Winger,Spain,2.0,Barcelona,LaLiga,Sampdoria,Serie B,3.0
Cyriaque Irié,19,Right Winger,Burkina Faso,3.0,Dijon,Championnat National,Troyes,Ligue 2,3.0
Oliver Sonne,24,Right-Back,Peru,3.0,Silkeborg IF,Superliga,Burnley,Championship,3.0
Nicolás Castro,23,Attacking Midfield,Argentina,3.0,KRC Genk,Jupiler Pro League,Elche CF,LaLiga2,3.0
Vince Osuji,18,Centre-Back,Nigeria,1.2,Kalmar FF,Superettan,Club Brugge,Jupiler Pro League,3.0
Mehdi Léris,26,Right Winger,Algeria,2.5,Stoke City,Championship,Pisa,Serie B,3.0
Jhonder Cádiz,28,Centre-Forward,Venezuela,3.0,Famalicão,Liga Portugal,León,Liga MX Apertura,3.0
Jason van Duiven,19,Centre-Forward,Netherlands,1.0,PSV Eindhoven,Eredivisie,Lommel SK,Challenger Pro League,3.0
Osaze Urhoghide,24,Centre-Back,England,6.0,Amiens SC,Ligue 2,Dallas,MLS,3.0
Silvano Vos,19,Defensive Midfield,Netherlands,2.5,Ajax,Eredivisie,Milan Futuro,Serie C - B,3.0
Brandon Thomas-Asante,25,Centre-Forward,Ghana,3.0,West Brom,Championship,Coventry,Championship,2.95
Lawrence Ennali,22,Left Winger,Germany,3.0,Górnik Zabrze,Ekstraklasa,Houston,MLS,2.75
Patrick Pentz,27,Goalkeeper,Austria,3.0,B. Leverkusen,Bundesliga,Bröndby IF,Superliga,2.55
Bruno Onyemaechi,25,Left-Back,Nigeria,3.0,Boavista,Liga Portugal,Olympiacos,Super League 1,2.5
Lucas Barbosa,23,Right Winger,Brazil,3.0,Santos,Série A,RB Bragantino,Série A,2.5
Sebastián Villa,28,Left Winger,Colombia,3.0,Beroe,efbet Liga,Ind. Rivadavia,Liga Profesional (- 23/24),2.39
Gonçalo Franco,23,Central Midfield,Portugal,3.0,Moreirense,Liga Portugal,Swansea,Championship,2.1
Levent Mercan,23,Left Midfield,Türkiye,3.0,Karagümrük,1.Lig,Fenerbahce,Süper Lig,2.0
Timothy Noor Ouma,20,Central Midfield,Kenya,3.0,Elfsborg,Allsvenskan,Slavia Prague,Chance Liga,2.0
Keke Topp,20,Centre-Forward,Germany,3.0,FC Schalke 04,2. Bundesliga,Werder Bremen,Bundesliga,2.0
Pontus Almqvist,25,Right Winger,Sweden,3.0,Rostov,Premier Liga,Parma,Serie A,2.0
Bruno Duarte,28,Centre-Forward,Brazil,3.0,Farense,Liga Portugal,Red Star,Super liga Srbije,2.0
Jeffrey de Lange,26,Goalkeeper,Netherlands,3.0,Go Ahead Eagles,Eredivisie,Marseille,Ligue 1,2.0
Jeppe Okkels,25,Left Winger,Denmark,3.0,FC Utrecht,Eredivisie,Preston,Championship,2.0
Cheick Condé,24,Defensive Midfield,Guinea,3.0,FC Zürich,Super League,Venezia,Serie A,2.0
Mërgim Vojvoda,30,Right-Back,Kosovo,3.0,Torino,Serie A,Como,Serie A,2.0
Iván Azón,22,Centre-Forward,Spain,3.0,Real Zaragoza,LaLiga2,Como,Serie A,2.0
Igor Jesus,21,Defensive Midfield,Brazil,3.0,Flamengo,Série A,Estrela Amadora,Liga Portugal,2.0
Eliot Matazo,22,Central Midfield,Belgium,3.0,Monaco,Ligue 1,Hull City,Championship,2.0
Peter Federico,21,Right Winger,Dominican Republic,3.0,RM Castilla,Primera Federación - Gr. II,Getafe,LaLiga,2.0
Ludovic Ajorque,30,Centre-Forward,France,3.0,1.FSV Mainz 05,Bundesliga,Stade Brestois,Ligue 1,
Fernando,25,Centre-Forward,Brazil,3.0,RB Salzburg,Bundesliga,RB Bragantino,Série A,2.0
Aiden O'Neill,26,Defensive Midfield,Australia,3.0,Standard Liège,Jupiler Pro League,New York City,MLS,2.0
José Martínez,30,Defensive Midfield,Venezuela,3.0,Philadelphia,MLS,Corinthians,Série A,1.8
Okay Yokuşlu,30,Defensive Midfield,Türkiye,3.0,West Brom,Championship,Trabzonspor,Süper Lig,1.65
Emanuel Aiwu,23,Centre-Back,Austria,3.0,Cremonese,Serie B,Sturm Graz,Bundesliga,1.6
Bartlomiej Wdowik,23,Left-Back,Poland,3.0,Jagiellonia,Ekstraklasa,SC Braga,Liga Portugal,1.6
Peter Vindahl,26,Goalkeeper,Denmark,3.0,AZ Alkmaar,Eredivisie,Sparta Prague,Chance Liga,1.5
Alexis Blin,27,Defensive Midfield,France,3.0,Lecce,Serie A,Palermo,Serie B,1.5
Neto Borges,27,Left-Back,Brazil,3.0,Clermont Foot,Ligue 2,Middlesbrough,Championship,1.5
Svetozar Markovic,24,Centre-Back,Serbia,3.0,Partizan,Super liga Srbije,Viktoria Plzen,Chance Liga,1.5
Alexandru Cicâldău,27,Attacking Midfield,Romania,3.0,Galatasaray,Süper Lig,CS U Craiova,SuperLiga,1.5
Maximiliano Salas,27,Centre-Forward,Argentina,3.0,Palestino,Liga Primera,Racing Club,Torneo Apertura,1.44
Jean Meneses,31,Left Winger,Chile,3.0,Toluca,Liga MX Apertura,Vasco da Gama,Série A,1.3
Yuriy Gorshkov,25,Left-Back,Russia,3.0,KS Samara,Premier Liga,Zenit S-Pb,Premier Liga,1.26
Aziz Yakubu,25,Centre-Forward,Ghana,3.0,Rio Ave,Liga Portugal,Shimizu S-Pulse,J2 League,1.25
Robson Bambu,26,Centre-Back,Brazil,3.0,OGC Nice,Ligue 1,SC Braga,Liga Portugal,1.2
Víctor Méndez,25,Defensive Midfield,Chile,3.0,CSKA Moscow,Premier Liga,Colo-Colo,Liga Primera,1.2
Fernando Cardozo,23,Right Winger,Paraguay,3.0,Olimpia,Primera División Apertura,Newell's,Liga Profesional (- 23/24),1.11
Nahuel Losada,31,Goalkeeper,Argentina,3.0,Belgrano,Liga Profesional (- 23/24),Lanús,Liga Profesional (- 23/24),1.1
Philipp Sander,26,Central Midfield,Germany,3.0,Holstein Kiel,Bundesliga,Bor. M'gladbach,Bundesliga,1.0
Lucas Vera,27,Central Midfield,Argentina,3.0,Orenburg,Premier Liga,Khimki,Premier Liga,1.0
Tidiam Gomis,18,Left Winger,France,3.0,SM Caen,Ligue 2,RB Leipzig,Bundesliga,1.0
Ifet Djakovac,27,Central Midfield,Bosnia-Herzegovina,3.0,FK TSC,Super liga Srbije,Akron Togliatti,Premier Liga,1.0
Gonzalo Luján,23,Right-Back,Argentina,3.0,San Lorenzo,Torneo Apertura,Miami,MLS,7.75
Esquerdinha,18,Left-Back,Brazil,3.0,Fluminense,Série A,QPR,Championship,6.0
Oliver Villadsen,22,Right-Back,Denmark,3.0,Nordsjaelland,Superliga,1.FC Nuremberg,2. Bundesliga,5.0
