PlayerName,Post,Age,MarketValue,Nationality,Left,Current_team,Fee
Daniel Svensson,Left-Back,22,5.50m,Sweden,FC Nordsjaelland,Borussia Dortmund,Loan fee:1.80m
Marcus Pedersen,Right Midfield,24,5.50m,Norway,Feyenoord Rotterdam,Torino FC,Loan fee:1.00m
John Kennedy,Centre-Forward,22,5.50m,Brazil,Fluminense Football Club,CF Pachuca,Loan fee:470k
Marlon,Left-Back,27,5.50m,Brazil,Cruzeiro Esporte Clube,Grêmio Foot-Ball Porto Alegrense,loan transfer
Danilo Cataldi,Defensive Midfield,30,5.50m,Italy,SS Lazio,ACF Fiorentina,loan transfer
Ibrahima Diallo,Defensive Midfield,25,5.50m,France,Al-Duhail SC,Al-Khor SC,?
Carlos Júnior,Right Winger,29,5.50m,Brazil,Al-Shabab FC,NEOM SC,loan transfer
Ali Abdullah Hazazi,Central Midfield,30,300k,Saudi Arabia,Al-Ettifaq FC,Al-Qadsiah FC,0
Jeffinho,Left Winger,25,5.00m,Brazil,Olympique Lyon,Botafogo de Futebol e Regatas,0
Tommy Conway,Centre-Forward,22,4.00m,Scotland,Bristol City,Middlesbrough FC,0
Kazeem Olaigbe,Left Winger,22,1.80m,Belgium,Cercle Brugge ,Stade Rennais FC,0
Óscar Perea,Left Winger,18,2.00m,Colombia,Atlético Nacional,RC Strasbourg Alsace,0
Nadir Zortea,Right Midfield,25,3.00m,Italy,Atalanta BC,Cagliari Calcio,0
Finn Jeltsch,Centre-Back,18,5.00m,Germany,1.FC Nuremberg,VfB Stuttgart,0
Vitinho,Right-Back,25,5.00m,Brazil,Burnley FC,Botafogo de Futebol e Regatas,0
Largie Ramazani,Left Winger,23,5.00m,Belgium,UD Almería,Leeds United,0
Malick Yalcouyé,Right Midfield,18,5.00m,Mali,IFK Göteborg,Brighton & Hove Albion,0
Biel,Left Winger,23,5.00m,Brazil,Esporte Clube Bahia,Sporting CP,0
Álex Jiménez,Right-Back,19,4.00m,Spain,Real Madrid U19,AC Milan,0
Arthur Gomes,Left Winger,26,3.00m,Brazil,Cruzeiro Esporte Clube,Dynamo Moscow,0
Mohamed Diomandé,Central Midfield,22,4.00m,Cote d'Ivoire,FC Nordsjaelland,Rangers FC,0
Joachim Kayi Sanda,Centre-Back,18,800k,France,Valenciennes FC,Southampton FC,0
Gabriel Pereira,Centre-Back,24,4.00m,Brazil,Gil Vicente FC,FC Copenhagen,0
Albion Rrahmani,Centre-Forward,23,3.50m,Kosovo,FC Rapid 1923,AC Sparta Prague,0
Marquinhos,Left Winger,24,4.00m,Brazil,Ferencvárosi TC,Spartak Moscow,0
Jordan James,Central Midfield,20,4.50m,Wales,Birmingham City,Stade Rennais FC,0
Enzo Boyomo,Centre-Back,22,3.00m,Cameroon,Real Valladolid CF,CA Osasuna,0
Cher Ndour,Central Midfield,20,4.00m,Italy,Paris Saint-Germain,ACF Fiorentina,0
Matías Moreno,Centre-Back,20,2.00m,Argentina,Club Atlético Belgrano,ACF Fiorentina,0
Bastien Meupiyou,Centre-Back,18,800k,France,FC Nantes,Wolverhampton Wanderers,0
Juninho,Centre-Forward,28,2.00m,Brazil,Qarabağ FK,CR Flamengo,0
Sergey Volkov,Right-Back,21,4.50m,Russia,FC Krasnodar,Zenit St. Petersburg,0
Alieu Fadera,Left Winger,22,2.50m,The Gambia,KRC Genk,Como 1907,0
Ngal'ayel Mukau,Defensive Midfield,19,3.00m,DR Congo,KV Mechelen,LOSC Lille,0
Mory Gbane,Defensive Midfield,24,2.50m,Cote d'Ivoire,Gil Vicente FC,Stade Reims,0
Daniel Maldini,Attacking Midfield,22,4.50m,Italy,AC Milan,AC Monza,0
Iker Almena,Right Winger,20,-,Spain,Girona FC,Al-Qadsiah FC,0
Joel Pohjanpalo,Centre-Forward,30,5.00m,Finland,Venezia FC,Palermo FC,4.75m
Gonzalo Montiel,Right-Back,28,5.00m,Argentina,Sevilla FC,CA River Plate,4.50m
Suat Serdar,Central Midfield,27,5.00m,Germany,Hertha BSC,Hellas Verona,4.50m
Andrea Belotti,Centre-Forward,30,5.00m,Italy,AS Roma,Como 1907,4.50m
Amankwah Forson,Central Midfield,21,5.00m,Ghana,Red Bull Salzburg,Norwich City,4.50m
Rafael Navarro,Centre-Forward,24,5.00m,Brazil,Sociedade Esportiva Palmeiras,Colorado Rapids,4.50m
Gerónimo Rulli,Goalkeeper,32,5.00m,Argentina,Ajax Amsterdam,Olympique Marseille,4.00m
Jérémy Le Douaron,Centre-Forward,26,5.00m,France,Stade Brestois 29,Palermo FC,4.00m
Kamory Doumbia,Attacking Midfield,21,5.00m,Mali,Stade Reims,Stade Brestois 29,4.00m
Enzo Copetti,Centre-Forward,28,5.00m,Argentina,Charlotte FC,CA Rosario Central,3.95m
Monchu,Central Midfield,24,5.00m,Spain,Real Valladolid CF,Aris Thessaloniki,3.60m
Aboubakary Koita,Left Winger,25,5.00m,Mauritania,Sint-Truidense VV,AEK Athens,3.60m
Tomás Belmonte,Defensive Midfield,26,5.00m,Argentina,Deportivo Toluca,CA Boca Juniors,3.55m
Romain Perraud,Left-Back,26,5.00m,France,Southampton FC,Real Betis Balompié,3.50m
Hayao Kawabe,Central Midfield,28,5.00m,Japan,Standard Liège,Sanfrecce Hiroshima,3.50m
Alexander Aravena,Left Winger,21,5.00m,Chile,CD Universidad Católica,Grêmio Foot-Ball Porto Alegrense,3.20m
Jan-Carlo Simić,Centre-Back,19,5.00m,Serbia,AC Milan,RSC Anderlecht,3.00m
Leopold Querfeld,Centre-Back,20,5.00m,Austria,Rapid Vienna,1.FC Union Berlin,3.00m
László Bénes,Central Midfield,26,5.00m,Slovakia,Hamburger SV,1.FC Union Berlin,3.00m
Mathias Delorge,Central Midfield,19,5.00m,Belgium,Sint-Truidense VV,KAA Gent,3.00m
Hugo Siquet,Right-Back,22,5.00m,Belgium,SC Freiburg,Club Brugge KV,3.00m
Alan Cervantes,Defensive Midfield,26,5.00m,Mexico,Santos Laguna,CF América,3.00m
Richard Sánchez,Central Midfield,28,5.00m,Paraguay,CF América,Racing Club,2.75m
Jan Kuchta,Centre-Forward,27,5.00m,Czech Republic,AC Sparta Prague,FC Midtjylland,2.70m
Conan Ledesma,Goalkeeper,31,5.00m,Argentina,Cádiz CF,CA River Plate,2.60m
Oleksandr Pikhalyonok,Central Midfield,27,5.00m,Ukraine,SC Dnipro-1 ( - 2024),Dynamo Kyiv,2.50m
Serdar Saatçı,Centre-Back,21,5.00m,Türkiye,SC Braga,Trabzonspor,2.50m
Fabinho,Defensive Midfield,22,5.00m,Brazil,Sociedade Esportiva Palmeiras,Red Bull Bragantino,2.50m
Luca Orellano,Right Winger,24,5.00m,Argentina,Clube de Regatas Vasco da Gama,FC Cincinnati,2.50m
Alhassan Yusuf,Central Midfield,24,5.00m,Nigeria,Royal Antwerp FC,New England Revolution,2.30m
Matte Smets,Centre-Back,20,5.00m,Belgium,Sint-Truidense VV,KRC Genk,2.25m
Jusuf Gazibegovic,Right-Back,24,5.00m,Bosnia-Herzegovina,SK Sturm Graz,1.FC Köln,2.00m
Leonidas Stergiou,Right-Back,22,5.00m,Switzerland,FC St. Gallen 1879,VfB Stuttgart,2.00m
Willian José,Centre-Forward,32,5.00m,Brazil,Real Betis Balompié,Spartak Moscow,2.00m
Sam Lammers,Centre-Forward,27,5.00m,Netherlands,Rangers FC,Twente Enschede FC,2.00m
Toni Martínez,Centre-Forward,27,5.00m,Spain,FC Porto,Deportivo Alavés,2.00m
Ivan Sergeev,Centre-Forward,29,5.00m,Russia,Zenit St. Petersburg,Krylya Sovetov Samara,2.00m
José Paradela,Central Midfield,26,5.00m,Argentina,CA River Plate,Club Necaxa,1.92m
Karol Swiderski,Centre-Forward,28,5.00m,Poland,Charlotte FC,Panathinaikos FC,1.90m
Juan Musso,Goalkeeper,30,5.00m,Argentina,Atalanta BC,Atlético de Madrid,Loan fee:1.50m
Joselu,Centre-Forward,34,5.00m,Spain,RCD Espanyol Barcelona,Real Madrid,1.50m
Joselu,Centre-Forward,34,5.00m,Spain,Real Madrid,Al-Gharafa SC,1.50m
Jesús Ferreira,Centre-Forward,24,5.00m,United States,FC Dallas,Seattle Sounders FC,1.45m
Romeo Amane,Central Midfield,21,5.00m,Cote d'Ivoire,BK Häcken,Rapid Vienna,1.30m
Luke Cundle,Central Midfield,22,5.00m,England,Wolverhampton Wanderers,Millwall FC,1.20m
Denis Vavro,Centre-Back,28,5.00m,Slovakia,FC Copenhagen,VfL Wolfsburg,Loan fee:750k
Arthur Melo,Defensive Midfield,28,5.00m,Brazil,Juventus FC,Girona FC,Loan fee:700k
Lennard Maloney,Defensive Midfield,25,5.00m,United States,1.FC Heidenheim 1846,1.FSV Mainz 05,500k
Rui Silva,Goalkeeper,30,5.00m,Portugal,Real Betis Balompié,Sporting CP,Loan fee:500k
Donny van de Beek,Central Midfield,27,5.00m,Netherlands,Manchester United,Girona FC,500k
Felipe Carballo,Central Midfield,27,5.00m,Uruguay,Grêmio Foot-Ball Porto Alegrense,New York Red Bulls,Loan fee:455k
Meschack Elia,Centre-Forward,27,5.00m,DR Congo,BSC Young Boys,FC Nantes,Loan fee:250k
Kacper Kozlowski,Attacking Midfield,20,5.00m,Poland,Brighton & Hove Albion,Gaziantep FK,200k
Kevin Stöger,Attacking Midfield,30,5.00m,Austria,VfL Bochum,Borussia Mönchengladbach,free transfer
Yannik Keitel,Defensive Midfield,24,5.00m,Germany,SC Freiburg,VfB Stuttgart,free transfer
Dani de Wit,Attacking Midfield,26,5.00m,Netherlands,AZ Alkmaar,VfL Bochum,free transfer
Myron Boadu,Centre-Forward,23,5.00m,Netherlands,AS Monaco,VfL Bochum,loan transfer
André Silva,Centre-Forward,29,5.00m,Portugal,RB Leipzig,SV Werder Bremen,loan transfer
Alex Král,Central Midfield,26,5.00m,Czech Republic,Spartak Moscow,1.FC Union Berlin,free transfer
Malick Yalcouyé,Right Midfield,18,5.00m,Mali,Brighton & Hove Albion,SK Sturm Graz,loan transfer
Leo Sauer,Left Winger,18,5.00m,Slovakia,Feyenoord Rotterdam,NAC Breda,loan transfer
Alessandro Zanoli,Right-Back,23,5.00m,Italy,SSC Napoli,Genoa CFC,loan transfer
Vladan Kovačević,Goalkeeper,26,5.00m,Bosnia-Herzegovina,Sporting CP,Legia Warszawa,loan transfer
Casper Tengstedt,Centre-Forward,24,5.00m,Denmark,SL Benfica,Hellas Verona,loan transfer
Domagoj Bradarić,Left-Back,24,5.00m,Croatia,US Salernitana 1919,Hellas Verona,loan transfer
Milos Lukovic,Centre-Forward,19,5.00m,Serbia,RC Strasbourg Alsace,SC Heerenveen,loan transfer
Harry Clarke,Right-Back,23,5.00m,England,Ipswich Town,Sheffield United,loan transfer
Alfie Gilchrist,Right-Back,20,5.00m,England,Chelsea FC,Sheffield United,loan transfer
Zinho Vanheusden,Centre-Back,24,5.00m,Belgium,Inter Milan,KV Mechelen,loan transfer
Augusto Batalla,Goalkeeper,28,5.00m,Argentina,CA River Plate,Rayo Vallecano,loan transfer
James Rodríguez,Attacking Midfield,33,5.00m,Colombia,São Paulo Futebol Clube,Rayo Vallecano,free transfer
Rick Karsdorp,Right-Back,29,5.00m,Netherlands,AS Roma,PSV Eindhoven,free transfer
John Lundstram,Defensive Midfield,30,5.00m,England,Rangers FC,Trabzonspor,free transfer
Aaron Boupendza,Centre-Forward,28,5.00m,Gabon,FC Cincinnati,FC Rapid 1923,free transfer
Emil Audero,Goalkeeper,28,5.00m,Indonesia,Como 1907,Palermo FC,loan transfer
Sivert Mannsverk,Defensive Midfield,22,5.00m,Norway,Ajax Amsterdam,Cardiff City,loan transfer
Matheus,Goalkeeper,32,5.00m,Brazil,SC Braga,Ajax Amsterdam,loan transfer
Andoni Gorosabel,Right-Back,27,5.00m,Spain,Deportivo Alavés,Athletic Bilbao,free transfer
Kelechi Iheanacho,Centre-Forward,28,5.00m,Nigeria,Sevilla FC,Middlesbrough FC,loan transfer
Caleb Wiley,Left-Back,19,5.00m,United States,Chelsea FC,RC Strasbourg Alsace,loan transfer
Marko Stamenic,Defensive Midfield,22,5.00m,New Zealand,Nottingham Forest,Olympiacos Piraeus,loan transfer
Alex Král,Central Midfield,26,5.00m,Czech Republic,1.FC Union Berlin,RCD Espanyol Barcelona,loan transfer
Sebastiano Esposito,Second Striker,22,5.00m,Italy,Inter Milan,FC Empoli,loan transfer
Mattia Viti,Centre-Back,22,5.00m,Italy,OGC Nice,FC Empoli,loan transfer
Borja Iglesias,Centre-Forward,31,5.00m,Spain,Real Betis Balompié,Celta de Vigo,loan transfer
Bamo Meïté,Centre-Back,23,5.00m,Cote d'Ivoire,Olympique Marseille,Montpellier HSC,loan transfer
Mason Holgate,Centre-Back,27,5.00m,Jamaica,Everton FC,West Bromwich Albion,loan transfer
Bobby De Cordova-Reid,Right Winger,31,5.00m,Jamaica,Fulham FC,Leicester City,free transfer
James Beadle,Goalkeeper,19,5.00m,England,Brighton & Hove Albion U21,Sheffield Wednesday,loan transfer
Umar Sadiq,Centre-Forward,27,5.00m,Nigeria,Real Sociedad,Valencia CF,loan transfer
Matheus Nascimento,Centre-Forward,20,5.00m,Brazil,Botafogo de Futebol e Regatas,Los Angeles Galaxy,loan transfer
Marco Reus,Attacking Midfield,35,5.00m,Germany,Borussia Dortmund,Los Angeles Galaxy,free transfer
Rafik Guitane,Right Winger,25,5.00m,Algeria,GD Estoril Praia,SC Braga,loan transfer
Luka Romero,Right Winger,19,5.00m,Argentina,AC Milan,Deportivo Alavés,loan transfer
Renato Tapia,Defensive Midfield,29,5.00m,Peru,Celta de Vigo,CD Leganés,free transfer
Aurélio Buta,Right-Back,27,5.00m,Portugal,Eintracht Frankfurt,Stade Reims,loan transfer
Victor Hugo,Attacking Midfield,20,5.00m,Brazil,CR Flamengo,Göztepe,loan transfer
Iker Muniain,Attacking Midfield,31,5.00m,Spain,Athletic Bilbao,CA San Lorenzo de Almagro,free transfer
Bruno Méndez,Centre-Back,24,5.00m,Uruguay,Granada CF,Deportivo Toluca,free transfer
Lewis O'Brien,Central Midfield,26,5.00m,England,Nottingham Forest,Swansea City,loan transfer
Federico Viñas,Centre-Forward,26,5.00m,Uruguay,Club León FC,Real Oviedo,loan transfer
Gaetano Castrovilli,Central Midfield,27,5.00m,Italy,SS Lazio,AC Monza,loan transfer
Connor Goldson,Centre-Back,31,5.00m,England,Rangers FC,Aris Limassol,?
Nahitan Nández,Central Midfield,28,5.00m,Uruguay,Cagliari Calcio,Al-Qadsiah FC,free transfer
Hakim Ziyech,Right Winger,31,5.00m,Morocco,Galatasaray,Al-Duhail SC,free transfer
Tarik Tissoudali,Centre-Forward,31,5.00m,Morocco,PAOK Thessaloniki,Khor Fakkan SSC,loan transfer
Matías Vargas,Left Winger,27,5.00m,Argentina,Shanghai Port,Al-Fateh SC,free transfer
Lewis O'Brien,Central Midfield,25,5.00m,England,Nottingham Forest,Los Angeles FC,loan transfer
Yaimar Medina,Left-Back,20,3.50m,Ecuador,Independiente del Valle,KRC Genk,0
Sondre Langås,Centre-Back,24,2.30m,Norway,Viking FK,Derby County,0
Giovanni Leoni,Centre-Back,17,4.50m,Italy,UC Sampdoria,Parma Calcio 1913,0
Micael,Centre-Back,24,1.00m,Brazil,Houston Dynamo FC,Sociedade Esportiva Palmeiras,0
Lucas Sanabria,Defensive Midfield,21,3.00m,Uruguay,Club Nacional,Los Angeles Galaxy,0
Marco Pašalić,Right Winger,24,4.00m,Croatia,HNK Rijeka,Orlando City SC,0
Matteo Cancellieri,Right Winger,22,4.80m,Italy,SS Lazio,Parma Calcio 1913,Loan fee:1.20m
Bashir Humphreys,Left-Back,21,4.80m,England,Chelsea FC,Burnley FC,loan transfer
Skelly Alvero,Defensive Midfield,22,4.00m,France,Olympique Lyon,SV Werder Bremen,0
Sebastian Walukiewicz,Centre-Back,24,2.50m,Poland,FC Empoli,Torino FC,0
Jesús Gallardo,Left-Back,29,4.00m,Mexico,CF Monterrey,Deportivo Toluca,0
Charlie Hughes,Centre-Back,20,600k,England,Wigan Athletic,Hull City,0
Enis Bardhi,Attacking Midfield,29,4.70m,North Macedonia,Trabzonspor,Bodrum FK,free transfer
Carlos Palacios,Attacking Midfield,24,3.00m,Chile,CSD Colo-Colo,CA Boca Juniors,0
Mark McGuinness,Centre-Back,23,4.50m,Ireland,Cardiff City,Luton Town,0
Agustín Canobbio,Left Winger,26,4.50m,Uruguay,Club Athletico Paranaense,Fluminense Football Club,0
Jurgen Ekkelenkamp,Central Midfield,24,4.50m,Netherlands,Royal Antwerp FC,Udinese Calcio,0
Ryan Giles,Left-Back,24,4.50m,England,Luton Town,Hull City,0
Bénie Traoré,Left Winger,21,4.00m,Cote d'Ivoire,Sheffield United,FC Basel 1893,0
Marin Ljubicic,Centre-Forward,22,4.00m,Croatia,LASK,1.FC Union Berlin,0
Germán Pezzella,Centre-Back,33,3.00m,Argentina,Real Betis Balompié,CA River Plate,0
Lyanco,Centre-Back,27,3.00m,Brazil,Southampton FC,Clube Atlético Mineiro,0
Fausto Vera,Defensive Midfield,24,4.50m,Argentina,Sport Club Corinthians Paulista,Clube Atlético Mineiro,0
Charlie Cresswell,Centre-Back,21,4.00m,England,Leeds United,FC Toulouse,0
Deniz Gül,Centre-Forward,20,2.00m,Türkiye,Hammarby IF,FC Porto,0
Jhoanner Chávez,Left-Back,22,2.00m,Ecuador,Esporte Clube Bahia,RC Lens,0
Jordan,Centre-Forward,28,3.00m,United States,1.FC Union Berlin,Stade Reims,0
Mama Baldé,Centre-Forward,28,4.00m,Guinea-Bissau,Olympique Lyon,Stade Brestois 29,0
Unai Hernández,Central Midfield,20,1.00m,Spain,FC Barcelona Atlètic,Al-Ittihad Club,0
Igor Gomes,Centre-Back,23,1.50m,Brazil,Sport Club Internacional,Shabab Al-Ahli Club,0
Jens Odgaard,Attacking Midfield,25,4.50m,Denmark,AZ Alkmaar,Bologna FC 1909,4.28m
Jesper Daland,Centre-Back,24,4.50m,Norway,Cercle Brugge ,Cardiff City,4.10m
Troy Parrott,Centre-Forward,22,4.50m,Ireland,Tottenham Hotspur U21,AZ Alkmaar,4.00m
Mario Mitaj,Left-Back,21,4.50m,Albania,Lokomotiv Moscow,Al-Ittihad Club,4.00m
Nedim Bajrami,Attacking Midfield,25,4.50m,Albania,US Sassuolo,Rangers FC,3.60m
Jens Petter Hauge,Left Winger,25,4.50m,Norway,Eintracht Frankfurt,FK Bodø/Glimt,3.50m
Adalberto Carrasquilla,Central Midfield,26,4.50m,Panama,Houston Dynamo FC,UNAM Pumas,3.40m
Nediljko Labrovic,Goalkeeper,24,4.50m,Croatia,HNK Rijeka,FC Augsburg,2.50m
Rúben Vinagre,Left-Back,25,4.50m,Portugal,Sporting CP,Legia Warszawa,2.50m
Aarón Quirós,Centre-Back,22,4.50m,Argentina,CA Banfield,CA Vélez Sarsfield,2.43m
Joaquín Pereyra,Central Midfield,25,4.50m,Argentina,Club Atlético Tucumán,Minnesota United FC,2.19m
Jack McGlynn,Central Midfield,21,4.50m,United States,Philadelphia Union,Houston Dynamo FC,2.04m
Brooke Norton-Cuffy,Right-Back,20,4.50m,England,Arsenal FC U21,Genoa CFC,2.00m
Zan Celar,Centre-Forward,25,4.50m,Slovenia,FC Lugano,Queens Park Rangers,2.00m
Tomás Conechny,Left Winger,26,4.50m,Argentina,CD Godoy Cruz Antonio Tomba,Deportivo Alavés,2.00m
Giovanni Leoni,Centre-Back,17,4.50m,Italy,Calcio Padova,UC Sampdoria,1.50m
Jean-Philippe Krasso,Centre-Forward,26,4.50m,Cote d'Ivoire,Red Star Belgrade,Paris FC,1.50m
Francis Amuzu,Left Winger,25,4.50m,Belgium,RSC Anderlecht,Grêmio Foot-Ball Porto Alegrense,1.20m
Adam Bareiro,Centre-Forward,28,4.50m,Paraguay,CA River Plate,Al-Rayyan SC,Loan fee:959k
DeJuan Jones,Left-Back,27,4.50m,United States,New England Revolution,Columbus Crew,550k
Kevin Agudelo,Attacking Midfield,25,4.50m,Colombia,Al-Nasr SC (UAE),Al-Wahda FC,loan transfer
Paxten Aaronson,Central Midfield,20,4.50m,United States,Eintracht Frankfurt,FC Utrecht,loan transfer
Stijn Spierings,Defensive Midfield,28,4.50m,Netherlands,RC Lens,Bröndby IF,free transfer
Nicolás Valentini,Centre-Back,23,4.50m,Argentina,ACF Fiorentina,Hellas Verona,loan transfer
Ki-Jana Hoever,Right-Back,22,4.50m,Netherlands,Wolverhampton Wanderers,AJ Auxerre,loan transfer
Hamza Choudhury,Defensive Midfield,27,4.50m,Bangladesh,Leicester City,Sheffield United,loan transfer
Antonio Raimondo,Centre-Forward,20,4.50m,Italy,Bologna FC 1909,US Salernitana 1919,loan transfer
Nicolás Valentini,Centre-Back,23,4.50m,Argentina,CA Boca Juniors,ACF Fiorentina,free transfer
Sam Greenwood,Centre-Forward,22,4.50m,England,Leeds United,Preston North End,loan transfer
Oli McBurnie,Centre-Forward,28,4.50m,Scotland,Sheffield United,UD Las Palmas,free transfer
Wendell,Left-Back,31,4.50m,Brazil,FC Porto,São Paulo Futebol Clube,free transfer
Antonio Raimondo,Centre-Forward,20,4.50m,Italy,Bologna FC 1909,Venezia FC,loan transfer
Ryan Giles,Left-Back,24,4.50m,England,Hull City,Middlesbrough FC,loan transfer
Praxedes,Central Midfield,22,4.50m,Brazil,Red Bull Bragantino,Club Athletico Paranaense,loan transfer
André Horta,Central Midfield,28,4.50m,Portugal,SC Braga,Olympiacos Piraeus,loan transfer
Marash Kumbulla,Centre-Back,24,4.50m,Albania,AS Roma,RCD Espanyol Barcelona,loan transfer
Agustín Álvarez,Centre-Forward,23,4.50m,Uruguay,US Sassuolo,Elche CF,loan transfer
Andreas Ntoi,Centre-Back,21,4.50m,Greece,Olympiacos Piraeus,Rio Ave FC,loan transfer
Jovan Mijatović,Centre-Forward,19,4.50m,Serbia,New York City FC,Oud-Heverlee Leuven,loan transfer
Rodrigo,Centre-Forward,33,4.50m,Spain,Al-Rayyan SC,Al-Gharafa SC,loan transfer
Kamil Piatkowski,Centre-Back,24,4.50m,Poland,Red Bull Salzburg,Kasimpasa,loan transfer
Antonín Barák,Attacking Midfield,29,4.50m,Czech Republic,ACF Fiorentina,Kasimpasa,loan transfer
Baltasar Rodríguez,Attacking Midfield,21,4.50m,Argentina,Racing Club,Inter Miami CF,loan transfer
Salem Al-Najdi,Left-Back,21,500k,Saudi Arabia,Al-Fateh SC,Al-Nassr FC,0
Oğuz Aydın,Left Winger,23,4.30m,Türkiye,Alanyaspor,Fenerbahce,0
Samuel Dahl,Left-Back,21,3.00m,Sweden,Djurgårdens IF,AS Roma,0
Wagner Leonardo,Centre-Back,25,2.00m,Brazil,Esporte Clube Vitória,Grêmio Foot-Ball Porto Alegrense,0
Emirhan Topçu,Centre-Back,23,4.30m,Türkiye,Caykur Rizespor,Besiktas JK,3.40m
Youcef Atal,Right-Back,28,4.30m,Algeria,Adana Demirspor,Al-Sadd SC,free transfer
Ricardo Gomes,Centre-Forward,32,4.30m,Cape Verde,Al-Shamal SC,Al-Wakrah SC,?
Mohamed Abdelmonem,Centre-Back,25,3.00m,Egypt,Al Ahly FC,OGC Nice,0
Alerrandro,Centre-Forward,25,4.00m,Brazil,Red Bull Bragantino,CSKA Moscow,0
Jones El-Abdellaoui,Right Winger,18,2.30m,Morocco,Vålerenga Fotball Elite,RC Celta Fortuna,0
Sorba Thomas,Right Winger,25,4.20m,Wales,Huddersfield Town,FC Nantes,loan transfer
Zian Flemming,Attacking Midfield,26,4.20m,Netherlands,Millwall FC,Burnley FC,loan transfer
Christoph Klarer,Centre-Back,24,3.00m,Austria,SV Darmstadt 98,Birmingham City,0
Micah Hamilton,Left Winger,20,2.00m,England,Manchester City U21,Middlesbrough FC,0
Marko Arnautovic,Centre-Forward,35,4.00m,Austria,Bologna FC 1909,Inter Milan,0
Alan Velasco,Left Winger,22,4.00m,Argentina,FC Dallas,CA Boca Juniors,0
Jhon Jhon,Attacking Midfield,21,4.00m,Brazil,Sociedade Esportiva Palmeiras,Red Bull Bragantino,0
Ognjen Mimovic,Right-Back,20,4.00m,Serbia,Red Star Belgrade,Fenerbahce,0
Bojan Miovski,Centre-Forward,25,4.00m,North Macedonia,Aberdeen FC,Girona FC,0
Isaiah Jones,Right Winger,25,4.00m,Guyana,Middlesbrough FC,Luton Town,0
Keny Arroyo,Right Winger,18,4.00m,Ecuador,Independiente del Valle,Besiktas JK,0
Mohamed Belloumi,Right Winger,22,4.00m,Algeria,SC Farense,Hull City,0
Milson,Left Winger,24,4.00m,Angola,Maccabi Tel Aviv,Red Star Belgrade,0
Rômulo,Defensive Midfield,24,4.00m,Brazil,Sport Club Internacional,Tigres UANL,0
Rubén Lezcano,Attacking Midfield,21,4.00m,Paraguay,Club Libertad Asunción,Fluminense Football Club,0
Erick,Defensive Midfield,27,4.00m,Brazil,Club Athletico Paranaense,Esporte Clube Bahia,0
Santiago Ramos Mingo,Centre-Back,23,4.00m,Argentina,Defensa y Justicia,Esporte Clube Bahia,0
Facundo Farías,Attacking Midfield,22,4.00m,Argentina,Inter Miami CF,Club Estudiantes de La Plata,0
Rodrigo Echeverría,Defensive Midfield,29,4.00m,Chile,CA Huracán,Club León FC,0
Rachid Kouda,Central Midfield,22,800k,Italy,Spezia Calcio,Parma Calcio 1913,0
Min-hyeok Yang,Right Winger,18,3.50m,"Korea, South",Gangwon FC,Tottenham Hotspur,0
Paris Brunner,Centre-Forward,18,-,Germany,Borussia Dortmund U19,AS Monaco,0
Samuel Essende,Centre-Forward,26,3.50m,DR Congo,FC Vizela,FC Augsburg,0
Ondrej Lingr,Attacking Midfield,25,3.50m,Czech Republic,SK Slavia Prague,Feyenoord Rotterdam,0
Derek Cornelius,Centre-Back,26,2.80m,Canada,Malmö FF,Olympique Marseille,0
Willum Thór Willumsson,Attacking Midfield,25,3.00m,Iceland,Go Ahead Eagles,Birmingham City,0
Stipe Biuk,Left Winger,21,4.00m,Croatia,Los Angeles FC,Real Valladolid CF,0
Peque Fernández,Second Striker,21,3.00m,Spain,Racing Santander,Sevilla FC,0
Oliver Provstgaard,Centre-Back,21,2.50m,Denmark,Vejle Boldklub,SS Lazio,0
Ao Tanaka,Defensive Midfield,25,4.00m,Japan,Fortuna Düsseldorf,Leeds United,0
Djé D'Avilla,Defensive Midfield,21,500k,Cote d'Ivoire,UD Leiria,Chicago Fire FC,0
Erencan Yardımcı,Centre-Forward,22,2.00m,Türkiye,Eyüpspor,TSG 1899 Hoffenheim,0
Yousef Salech,Centre-Forward,23,1.80m,Denmark,IK Sirius,Cardiff City,0
Daniel Fila,Centre-Forward,22,1.20m,Czech Republic,SK Slavia Prague,Venezia FC,0
Gaetano Oristanio,Attacking Midfield,21,4.00m,Italy,Inter Milan,Venezia FC,0
Carlos Miguel,Goalkeeper,25,4.00m,Brazil,Sport Club Corinthians Paulista,Nottingham Forest,0
Denil Castillo,Central Midfield,20,1.00m,Ecuador,Shakhtar Donetsk,FC Midtjylland,0
Wilson Isidor,Centre-Forward,23,4.00m,France,Lokomotiv Moscow,Zenit St. Petersburg,0
Vanja Drkusic,Centre-Back,24,3.50m,Slovenia,FC Sochi,Zenit St. Petersburg,0
Emin Bayram,Centre-Back,21,4.00m,Türkiye,Galatasaray,KVC Westerlo,0
Tammer Bany,Centre-Forward,21,500k,Denmark,Randers FC,West Bromwich Albion,0
Lucas Evangelista,Central Midfield,29,3.00m,Brazil,Red Bull Bragantino,Sociedade Esportiva Palmeiras,0
Diego Conde,Goalkeeper,25,2.00m,Spain,CD Leganés,Villarreal CF,0
Andréas Hountondji,Centre-Forward,22,1.80m,Benin,SM Caen,Burnley FC,0
Franjo Ivanovic,Centre-Forward,20,1.50m,Croatia,HNK Rijeka,Union Saint-Gilloise,0
